2012/08/24 11:54:56 | STATUS | wrapper  | --> Wrapper Started as Daemon
2012/08/24 11:54:56 | STATUS | wrapper  | Launching a JVM...
2012/08/24 11:54:57 | INFO   | jvm 1    | 
2012/08/24 11:54:57 | INFO   | jvm 1    | WARNING - Unable to load the Wrapper's native library 'libwrapper.so'.
2012/08/24 11:54:57 | INFO   | jvm 1    |           The file is located on the path at the following location but
2012/08/24 11:54:57 | INFO   | jvm 1    |           could not be loaded:
2012/08/24 11:54:57 | INFO   | jvm 1    |             /var/www/html/polycliniqueborinage/protocol/bin/./libwrapper.so
2012/08/24 11:54:57 | INFO   | jvm 1    |           Please verify that the file is readable by the current user
2012/08/24 11:54:57 | INFO   | jvm 1    |           and that the file has not been corrupted in any way.
2012/08/24 11:54:57 | INFO   | jvm 1    |           System signals will not be handled correctly.
2012/08/24 11:54:57 | INFO   | jvm 1    | 
2012/08/24 11:54:57 | INFO   | jvm 1    | Wrapper (Version 3.1.2) http://wrapper.tanukisoftware.org
2012/08/24 11:54:57 | INFO   | jvm 1    | 
2012/08/24 11:54:57 | INFO   | jvm 1    | Starting Fortress
2012/08/24 11:54:58 | INFO   | jvm 1    | 
2012/08/24 11:54:58 | INFO   | jvm 1    | WrapperSimpleApp: Encountered an error running main: java.lang.reflect.InvocationTargetException
2012/08/24 11:54:58 | INFO   | jvm 1    | java.lang.reflect.InvocationTargetException
2012/08/24 11:54:58 | INFO   | jvm 1    | 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
2012/08/24 11:54:58 | INFO   | jvm 1    | 	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:57)
2012/08/24 11:54:58 | INFO   | jvm 1    | 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
2012/08/24 11:54:58 | INFO   | jvm 1    | 	at java.lang.reflect.Method.invoke(Method.java:601)
2012/08/24 11:54:58 | INFO   | jvm 1    | 	at nl.hippo.fortress.start.Main.invokeMain(Main.java:123)
2012/08/24 11:54:58 | INFO   | jvm 1    | 	at nl.hippo.fortress.start.Main.main(Main.java:50)
2012/08/24 11:54:58 | INFO   | jvm 1    | 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
2012/08/24 11:54:58 | INFO   | jvm 1    | 	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:57)
2012/08/24 11:54:58 | INFO   | jvm 1    | 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
2012/08/24 11:54:58 | INFO   | jvm 1    | 	at java.lang.reflect.Method.invoke(Method.java:601)
2012/08/24 11:54:58 | INFO   | jvm 1    | 	at org.tanukisoftware.wrapper.WrapperSimpleApp.run(WrapperSimpleApp.java:136)
2012/08/24 11:54:58 | INFO   | jvm 1    | 	at java.lang.Thread.run(Thread.java:722)
2012/08/24 11:54:58 | INFO   | jvm 1    | Caused by: org.apache.avalon.framework.configuration.ConfigurationException: cannot create FileTarget
2012/08/24 11:54:58 | INFO   | jvm 1    | 	at org.apache.avalon.excalibur.logger.factory.FileTargetFactory.createTarget(FileTargetFactory.java:184)
2012/08/24 11:54:58 | INFO   | jvm 1    | 	at org.apache.avalon.excalibur.logger.factory.FileTargetFactory.createTarget(FileTargetFactory.java:145)
2012/08/24 11:54:58 | INFO   | jvm 1    | 	at org.apache.avalon.excalibur.logger.DefaultLogTargetManager.configure(DefaultLogTargetManager.java:92)
2012/08/24 11:54:58 | INFO   | jvm 1    | 	at org.apache.avalon.framework.container.ContainerUtil.configure(ContainerUtil.java:201)
2012/08/24 11:54:58 | INFO   | jvm 1    | 	at org.apache.avalon.excalibur.logger.LogKitLoggerManager.setupTargetManager(LogKitLoggerManager.java:457)
2012/08/24 11:54:58 | INFO   | jvm 1    | 	at org.apache.avalon.excalibur.logger.LogKitLoggerManager.configure(LogKitLoggerManager.java:403)
2012/08/24 11:54:58 | INFO   | jvm 1    | 	at org.apache.avalon.framework.container.ContainerUtil.configure(ContainerUtil.java:201)
2012/08/24 11:54:58 | INFO   | jvm 1    | 	at org.apache.avalon.fortress.util.ContextManager.initializeLoggerManager(ContextManager.java:890)
2012/08/24 11:54:58 | INFO   | jvm 1    | 	at org.apache.avalon.fortress.util.ContextManager.initialize(ContextManager.java:242)
2012/08/24 11:54:58 | INFO   | jvm 1    | 	at nl.hippo.fortress.Main.start(Main.java:50)
2012/08/24 11:54:58 | INFO   | jvm 1    | 	at nl.hippo.fortress.Main.main(Main.java:91)
2012/08/24 11:54:58 | INFO   | jvm 1    | 	... 12 more
2012/08/24 11:54:58 | INFO   | jvm 1    | Caused by: java.io.FileNotFoundException: /var/www/html/polycliniqueborinage/protocol/logs/fortress.2012_08_24.log (Permission denied)
2012/08/24 11:54:58 | INFO   | jvm 1    | 	at java.io.FileOutputStream.open(Native Method)
2012/08/24 11:54:58 | INFO   | jvm 1    | 	at java.io.FileOutputStream.<init>(FileOutputStream.java:212)
2012/08/24 11:54:58 | INFO   | jvm 1    | 	at java.io.FileOutputStream.<init>(FileOutputStream.java:136)
2012/08/24 11:54:58 | INFO   | jvm 1    | 	at org.apache.log.output.io.FileTarget.openFile(FileTarget.java:106)
2012/08/24 11:54:58 | INFO   | jvm 1    | 	at org.apache.log.output.io.rotate.RotatingFileTarget.rotate(RotatingFileTarget.java:94)
2012/08/24 11:54:58 | INFO   | jvm 1    | 	at org.apache.log.output.io.rotate.RotatingFileTarget.<init>(RotatingFileTarget.java:80)
2012/08/24 11:54:58 | INFO   | jvm 1    | 	at org.apache.avalon.excalibur.logger.factory.FileTargetFactory.createTarget(FileTargetFactory.java:178)
2012/08/24 11:54:58 | INFO   | jvm 1    | 	... 22 more
2012/08/24 11:55:00 | STATUS | wrapper  | <-- Wrapper Stopped
2012/08/24 11:55:12 | STATUS | wrapper  | --> Wrapper Started as Daemon
2012/08/24 11:55:12 | STATUS | wrapper  | Launching a JVM...
2012/08/24 11:55:13 | INFO   | jvm 1    | 
2012/08/24 11:55:13 | INFO   | jvm 1    | WARNING - Unable to load the Wrapper's native library 'libwrapper.so'.
2012/08/24 11:55:13 | INFO   | jvm 1    |           The file is located on the path at the following location but
2012/08/24 11:55:13 | INFO   | jvm 1    |           could not be loaded:
2012/08/24 11:55:13 | INFO   | jvm 1    |             /var/www/html/polycliniqueborinage/protocol/bin/./libwrapper.so
2012/08/24 11:55:13 | INFO   | jvm 1    |           Please verify that the file is readable by the current user
2012/08/24 11:55:13 | INFO   | jvm 1    |           and that the file has not been corrupted in any way.
2012/08/24 11:55:13 | INFO   | jvm 1    |           System signals will not be handled correctly.
2012/08/24 11:55:13 | INFO   | jvm 1    | 
2012/08/24 11:55:13 | INFO   | jvm 1    | Wrapper (Version 3.1.2) http://wrapper.tanukisoftware.org
2012/08/24 11:55:13 | INFO   | jvm 1    | 
2012/08/24 11:55:13 | INFO   | jvm 1    | Starting Fortress
2012/08/24 11:55:13 | INFO   | jvm 1    | 
2012/08/24 11:55:13 | INFO   | jvm 1    | WrapperSimpleApp: Encountered an error running main: java.lang.reflect.InvocationTargetException
2012/08/24 11:55:13 | INFO   | jvm 1    | java.lang.reflect.InvocationTargetException
2012/08/24 11:55:13 | INFO   | jvm 1    | 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
2012/08/24 11:55:13 | INFO   | jvm 1    | 	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:57)
2012/08/24 11:55:13 | INFO   | jvm 1    | 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
2012/08/24 11:55:13 | INFO   | jvm 1    | 	at java.lang.reflect.Method.invoke(Method.java:601)
2012/08/24 11:55:13 | INFO   | jvm 1    | 	at nl.hippo.fortress.start.Main.invokeMain(Main.java:123)
2012/08/24 11:55:13 | INFO   | jvm 1    | 	at nl.hippo.fortress.start.Main.main(Main.java:50)
2012/08/24 11:55:13 | INFO   | jvm 1    | 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
2012/08/24 11:55:13 | INFO   | jvm 1    | 	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:57)
2012/08/24 11:55:13 | INFO   | jvm 1    | 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
2012/08/24 11:55:13 | INFO   | jvm 1    | 	at java.lang.reflect.Method.invoke(Method.java:601)
2012/08/24 11:55:13 | INFO   | jvm 1    | 	at org.tanukisoftware.wrapper.WrapperSimpleApp.run(WrapperSimpleApp.java:136)
2012/08/24 11:55:13 | INFO   | jvm 1    | 	at java.lang.Thread.run(Thread.java:722)
2012/08/24 11:55:13 | INFO   | jvm 1    | Caused by: org.apache.avalon.framework.configuration.ConfigurationException: cannot create FileTarget
2012/08/24 11:55:13 | INFO   | jvm 1    | 	at org.apache.avalon.excalibur.logger.factory.FileTargetFactory.createTarget(FileTargetFactory.java:184)
2012/08/24 11:55:13 | INFO   | jvm 1    | 	at org.apache.avalon.excalibur.logger.factory.FileTargetFactory.createTarget(FileTargetFactory.java:145)
2012/08/24 11:55:13 | INFO   | jvm 1    | 	at org.apache.avalon.excalibur.logger.DefaultLogTargetManager.configure(DefaultLogTargetManager.java:92)
2012/08/24 11:55:13 | INFO   | jvm 1    | 	at org.apache.avalon.framework.container.ContainerUtil.configure(ContainerUtil.java:201)
2012/08/24 11:55:13 | INFO   | jvm 1    | 	at org.apache.avalon.excalibur.logger.LogKitLoggerManager.setupTargetManager(LogKitLoggerManager.java:457)
2012/08/24 11:55:13 | INFO   | jvm 1    | 	at org.apache.avalon.excalibur.logger.LogKitLoggerManager.configure(LogKitLoggerManager.java:403)
2012/08/24 11:55:13 | INFO   | jvm 1    | 	at org.apache.avalon.framework.container.ContainerUtil.configure(ContainerUtil.java:201)
2012/08/24 11:55:13 | INFO   | jvm 1    | 	at org.apache.avalon.fortress.util.ContextManager.initializeLoggerManager(ContextManager.java:890)
2012/08/24 11:55:13 | INFO   | jvm 1    | 	at org.apache.avalon.fortress.util.ContextManager.initialize(ContextManager.java:242)
2012/08/24 11:55:13 | INFO   | jvm 1    | 	at nl.hippo.fortress.Main.start(Main.java:50)
2012/08/24 11:55:13 | INFO   | jvm 1    | 	at nl.hippo.fortress.Main.main(Main.java:91)
2012/08/24 11:55:13 | INFO   | jvm 1    | 	... 12 more
2012/08/24 11:55:13 | INFO   | jvm 1    | Caused by: java.io.FileNotFoundException: /var/www/html/polycliniqueborinage/protocol/logs/fortress.2012_08_24.log (Permission denied)
2012/08/24 11:55:13 | INFO   | jvm 1    | 	at java.io.FileOutputStream.open(Native Method)
2012/08/24 11:55:13 | INFO   | jvm 1    | 	at java.io.FileOutputStream.<init>(FileOutputStream.java:212)
2012/08/24 11:55:13 | INFO   | jvm 1    | 	at java.io.FileOutputStream.<init>(FileOutputStream.java:136)
2012/08/24 11:55:13 | INFO   | jvm 1    | 	at org.apache.log.output.io.FileTarget.openFile(FileTarget.java:106)
2012/08/24 11:55:13 | INFO   | jvm 1    | 	at org.apache.log.output.io.rotate.RotatingFileTarget.rotate(RotatingFileTarget.java:94)
2012/08/24 11:55:13 | INFO   | jvm 1    | 	at org.apache.log.output.io.rotate.RotatingFileTarget.<init>(RotatingFileTarget.java:80)
2012/08/24 11:55:13 | INFO   | jvm 1    | 	at org.apache.avalon.excalibur.logger.factory.FileTargetFactory.createTarget(FileTargetFactory.java:178)
2012/08/24 11:55:13 | INFO   | jvm 1    | 	... 22 more
2012/08/24 11:55:15 | STATUS | wrapper  | <-- Wrapper Stopped
2012/09/08 10:38:24 | STATUS | wrapper  | --> Wrapper Started as Daemon
2012/09/08 10:38:25 | STATUS | wrapper  | Launching a JVM...
2012/09/08 10:38:26 | INFO   | jvm 1    | Wrapper (Version 3.1.2) http://wrapper.tanukisoftware.org
2012/09/08 10:38:26 | INFO   | jvm 1    | 
2012/09/08 10:38:26 | INFO   | jvm 1    | Starting Fortress
2012/09/08 10:38:26 | INFO   | jvm 1    | log4j:ERROR setFile(null,true) call failed.
2012/09/08 10:38:26 | INFO   | jvm 1    | java.io.FileNotFoundException: ../logs/log4j.log (Permission denied)
2012/09/08 10:38:26 | INFO   | jvm 1    | 	at java.io.FileOutputStream.openAppend(Native Method)
2012/09/08 10:38:26 | INFO   | jvm 1    | 	at java.io.FileOutputStream.<init>(FileOutputStream.java:207)
2012/09/08 10:38:26 | INFO   | jvm 1    | 	at java.io.FileOutputStream.<init>(FileOutputStream.java:131)
2012/09/08 10:38:26 | INFO   | jvm 1    | 	at org.apache.log4j.FileAppender.setFile(FileAppender.java:289)
2012/09/08 10:38:26 | INFO   | jvm 1    | 	at org.apache.log4j.FileAppender.activateOptions(FileAppender.java:163)
2012/09/08 10:38:26 | INFO   | jvm 1    | 	at org.apache.log4j.DailyRollingFileAppender.activateOptions(DailyRollingFileAppender.java:215)
2012/09/08 10:38:26 | INFO   | jvm 1    | 	at org.apache.log4j.config.PropertySetter.activate(PropertySetter.java:256)
2012/09/08 10:38:26 | INFO   | jvm 1    | 	at org.apache.log4j.xml.DOMConfigurator.parseAppender(DOMConfigurator.java:220)
2012/09/08 10:38:26 | INFO   | jvm 1    | 	at org.apache.log4j.xml.DOMConfigurator.findAppenderByName(DOMConfigurator.java:150)
2012/09/08 10:38:26 | INFO   | jvm 1    | 	at org.apache.log4j.xml.DOMConfigurator.findAppenderByReference(DOMConfigurator.java:163)
2012/09/08 10:38:26 | INFO   | jvm 1    | 	at org.apache.log4j.xml.DOMConfigurator.parseChildrenOfLoggerElement(DOMConfigurator.java:425)
2012/09/08 10:38:26 | INFO   | jvm 1    | 	at org.apache.log4j.xml.DOMConfigurator.parseRoot(DOMConfigurator.java:394)
2012/09/08 10:38:26 | INFO   | jvm 1    | 	at org.apache.log4j.xml.DOMConfigurator.parse(DOMConfigurator.java:829)
2012/09/08 10:38:26 | INFO   | jvm 1    | 	at org.apache.log4j.xml.DOMConfigurator.doConfigure(DOMConfigurator.java:712)
2012/09/08 10:38:26 | INFO   | jvm 1    | 	at org.apache.log4j.xml.DOMConfigurator.doConfigure(DOMConfigurator.java:618)
2012/09/08 10:38:26 | INFO   | jvm 1    | 	at org.apache.log4j.helpers.OptionConverter.selectAndConfigure(OptionConverter.java:468)
2012/09/08 10:38:26 | INFO   | jvm 1    | 	at org.apache.log4j.LogManager.<clinit>(LogManager.java:122)
2012/09/08 10:38:26 | INFO   | jvm 1    | 	at org.apache.log4j.Logger.getLogger(Logger.java:104)
2012/09/08 10:38:26 | INFO   | jvm 1    | 	at org.apache.commons.logging.impl.Log4JLogger.getLogger(Log4JLogger.java:229)
2012/09/08 10:38:26 | INFO   | jvm 1    | 	at org.apache.commons.logging.impl.Log4JLogger.<init>(Log4JLogger.java:65)
2012/09/08 10:38:26 | INFO   | jvm 1    | 	at sun.reflect.NativeConstructorAccessorImpl.newInstance0(Native Method)
2012/09/08 10:38:26 | INFO   | jvm 1    | 	at sun.reflect.NativeConstructorAccessorImpl.newInstance(NativeConstructorAccessorImpl.java:57)
2012/09/08 10:38:26 | INFO   | jvm 1    | 	at sun.reflect.DelegatingConstructorAccessorImpl.newInstance(DelegatingConstructorAccessorImpl.java:45)
2012/09/08 10:38:26 | INFO   | jvm 1    | 	at java.lang.reflect.Constructor.newInstance(Constructor.java:532)
